question_id,subject,chapter,topic,question,options,correct_option,answer,explanation,question_type,paper_id
0T30OIGXiLWPby3zBj4re,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","The major product of the following reaction is :<br/>
$${\rm{C}}{{\rm{H}}_3}{\rm{CH =  CHC}}{{\rm{O}}_2}{\rm{CH_3 }}\buildrel {LiAl{H_4}} \over
 \longrightarrow $$","[{""identifier"": ""A"", ""content"": ""CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CHO""}, {""identifier"": ""B"", ""content"": ""CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CO<sub>2</sub>CH<sub>3</sub>""}, {""identifier"": ""C"", ""content"": ""CH<sub>3</sub>CH = CHCH<sub>2</sub>OH""}, {""identifier"": ""D"", ""content"": ""CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CH<sub>2</sub>OH""}]","[""C""]",,"LiAlH<sub>4</sub> reduces esters to alcohols but does not
reduce C = C.
<br><br>$${\rm{C}}{{\rm{H}}_3}{\rm{CH =  CHC}}{{\rm{O}}_2}{\rm{CH_3 }}\buildrel {LiAl{H_4}} \over
 \longrightarrow $$ CH<sub>3</sub>CH = CHCH<sub>2</sub>OH + CH<sub>3</sub>OH",mcq,jee-main-2019-online-9th-april-morning-slot
3S1G0WJPmCpX2z10Ng1klurc923,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",Ceric ammonium nitrate and CHCl<sub>3</sub>/alc. KOH are used for the identification of functional groups present in __________ and _______ respectively.,"[{""identifier"": ""A"", ""content"": ""amine, alcohol""}, {""identifier"": ""B"", ""content"": ""alcohol, phenol""}, {""identifier"": ""C"", ""content"": ""alcohol, amine""}, {""identifier"": ""D"", ""content"": ""amine, phenol""}]","[""C""]",,"Alcohol give positive test with ceric ammonium nitrate and primary amines gives carbyl amine
test with CHCl<sub>3</sub>, KOH.",mcq,jee-main-2021-online-26th-february-evening-slot
1krq60bl7,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","In the given reaction 
<br/><br/>3-Bromo-2, 2-dimethyl butane $$\buildrel {{C_2}{H_5}OH} \over
 \longrightarrow \mathop {'A'}\limits_{(Major\,\Pr oduct)} $$ <br/><br/>Product A is :","[{""identifier"": ""A"", ""content"": ""2-Ethoxy-3, 3-dimethyl butane""}, {""identifier"": ""B"", ""content"": ""1-Ethoxy-3, 3-dimethyl butane""}, {""identifier"": ""C"", ""content"": ""2-Ethoxy-2, 3-dimethyl butane""}, {""identifier"": ""D"", ""content"": ""2-Hydroxy-3, 3-dimethyl butane""}]","[""C""]",,"<img src=""https://app-content.cdn.examgoal.net/fly/@width/image/1l0adh3sr/6a57259c-96ac-42a1-a962-33a769faa5b5/26d1fda0-9a9a-11ec-9f52-c900a8226ba7/file-1l0adh3ss.png?format=png"" data-orsrc=""https://app-content.cdn.examgoal.net/image/1l0adh3sr/6a57259c-96ac-42a1-a962-33a769faa5b5/26d1fda0-9a9a-11ec-9f52-c900a8226ba7/file-1l0adh3ss.png"" loading=""lazy"" style=""max-width: 100%;height: auto;display: block;margin: 0 auto;max-height: 60vh"" alt=""JEE Main 2021 (Online) 20th July Morning Shift Chemistry - Alcohols, Phenols and Ethers Question 95 English Explanation"">",mcq,jee-main-2021-online-20th-july-morning-shift
1krq6uo5j,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",To synthesize 1.0 mole of 2-methylpropan-2-ol from Ethylethanoate ___________ equivalents of CH<sub>3</sub>MgBr Reagent will be required. (Integer value),[],,2,"<p>2 moles of CH<sub>3</sub>MgBr
reagent will be used. Chemical reaction is as
follows</p>

<img src=""https://app-content.cdn.examgoal.net/fly/@width/image/1l0adn5gj/b3d1ece2-c592-44f9-858a-d20775dd0120/cef55b30-9a9a-11ec-9f52-c900a8226ba7/file-1l0adn5gk.png?format=png"" data-orsrc=""https://app-content.cdn.examgoal.net/image/1l0adn5gj/b3d1ece2-c592-44f9-858a-d20775dd0120/cef55b30-9a9a-11ec-9f52-c900a8226ba7/file-1l0adn5gk.png"" loading=""lazy"" style=""max-width: 100%;height: auto;display: block;margin: 0 auto;max-height: 50vh"" alt=""JEE Main 2021 (Online) 20th July Morning Shift Chemistry - Alcohols, Phenols and Ethers Question 94 English Explanation"">",integer,jee-main-2021-online-20th-july-morning-shift
1ktiauoy6,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","Given below are two statements : one is labelled as Assertion (A) and the other is labelled as Reason (R). <br/><br/>Assertion (A) : Treatment of bromine water with propene yields 1-bromopropan-2-ol.<br/><br/>Reason (R) : Attack of water on bromonium ion follows Markovnikov rule and results in 1-bromopropan-2-ol.<br/><br/>In the light of the above statements, choose the most appropriate answer from the options given below :","[{""identifier"": ""A"", ""content"": ""Both (A) and (R) are true but (R) is not the correct explanation of (A)""}, {""identifier"": ""B"", ""content"": ""(A) is false but (R) is true""}, {""identifier"": ""C"", ""content"": ""Both (A) and (R) are true and (R) is the correct explanation of (A)""}, {""identifier"": ""D"", ""content"": ""(A) is true but (R) is false""}]","[""C""]",,"<img src=""https://res.cloudinary.com/dckxllbjy/image/upload/v1734267413/exam_images/frddmhg81oklgbzracdg.webp"" style=""max-width: 100%;height: auto;display: block;margin: 0 auto;"" loading=""lazy"" alt=""JEE Main 2021 (Online) 31st August Morning Shift Chemistry - Alcohols, Phenols and Ethers Question 81 English Explanation""><br><br>Its IUPAC name 1-bromopropan-2-ol<br><br>A and R are true and (R) is the correct explanation of (A).",mcq,jee-main-2021-online-31st-august-morning-shift
1l54zeapq,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",<p>The number of chiral alcohol(s) with molecular formula C<sub>4</sub>H<sub>10</sub>O is ________.</p>,[],,2,"<img src=""https://app-content.cdn.examgoal.net/fly/@width/image/1l97xeoyg/f06e1db7-1d1c-444e-96b6-2f26472acd0f/b2c87c90-4b6f-11ed-9399-cda4ba1d6994/file-1l97xeoyh.png?format=png"" data-orsrc=""https://app-content.cdn.examgoal.net/image/1l97xeoyg/f06e1db7-1d1c-444e-96b6-2f26472acd0f/b2c87c90-4b6f-11ed-9399-cda4ba1d6994/file-1l97xeoyh.png"" loading=""lazy"" style=""max-width: 100%;height: auto;display: block;margin: 0 auto;max-height: 50vh"" alt=""JEE Main 2022 (Online) 29th June Evening Shift Chemistry - Alcohols, Phenols and Ethers Question 78 English Explanation""><br>Out of which only two are chiral ",integer,jee-main-2022-online-29th-june-evening-shift
1l5bdivfj,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","<p>Hex-4-ene-2-ol on treatment with PCC gives 'A'. 'A' on reaction with sodium hypoiodite gives 'B', which on further heating with soda lime gives 'C'. The compound 'C' is :</p>","[{""identifier"": ""A"", ""content"": ""2-pentene""}, {""identifier"": ""B"", ""content"": ""proponaldehyde""}, {""identifier"": ""C"", ""content"": ""2-butene""}, {""identifier"": ""D"", ""content"": ""4-methylpent-2-ene""}]","[""C""]",,"<img src=""https://app-content.cdn.examgoal.net/fly/@width/image/1l8mep1aq/8486d45d-6ce5-4561-8330-49120f4974d4/0f50cb20-3f9a-11ed-8593-f506a41bac9c/file-1l8mep1ar.png?format=png"" data-orsrc=""https://app-content.cdn.examgoal.net/image/1l8mep1aq/8486d45d-6ce5-4561-8330-49120f4974d4/0f50cb20-3f9a-11ed-8593-f506a41bac9c/file-1l8mep1ar.png"" loading=""lazy"" style=""max-width: 100%;height: auto;display: block;margin: 0 auto;max-height: 70vh"" alt=""JEE Main 2022 (Online) 24th June Evening Shift Chemistry - Alcohols, Phenols and Ethers Question 69 English Explanation"">",mcq,jee-main-2022-online-24th-june-evening-shift
1l6e1u9l1,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","<p>Given below are two statements :</p>
<p>Statement I : On heating with $$\mathrm{KHSO}_{4}$$, glycerol is dehydrated and acrolein is formed.</p>
<p>Statement II : Acrolein has fruity odour and can be used to test glycerol's presence.</p>
<p>Choose the correct option.</p>","[{""identifier"": ""A"", ""content"": ""Both Statement I and Statement II are correct.""}, {""identifier"": ""B"", ""content"": ""Both Statement I and Statement II are incorrect.""}, {""identifier"": ""C"", ""content"": ""Statement I is correct but Statement II is incorrect.""}, {""identifier"": ""D"", ""content"": ""Statement I is incorrect but Statement II is correct.""}]","[""C""]",,"<p>Glycerol, on heating with KHSO<sub>4</sub>, undergoes
dehydration to give unsaturated aldehyde called
acrolein. So, the statement I is correct. </p>
<p><img src=""https://app-content.cdn.examgoal.net/fly/@width/image/1lc5nub91/885a5719-f117-4ded-bc2b-fa2b9690e0d5/5eb03160-8595-11ed-a4e1-239777dab634/file-1lc5nub92.png?format=png"" data-orsrc=""https://app-content.cdn.examgoal.net/image/1lc5nub91/885a5719-f117-4ded-bc2b-fa2b9690e0d5/5eb03160-8595-11ed-a4e1-239777dab634/file-1lc5nub92.png"" loading=""lazy"" style=""max-width: 100%; height: auto; display: block; margin: 0px auto; max-height: 40vh;"" alt=""JEE Main 2022 (Online) 25th July Morning Shift Chemistry - Alcohols, Phenols and Ethers Question 66 English Explanation""></p>
<p>Acrolein has a piercing unpleasant smell. So,
statement II is incorrect. </p>",mcq,jee-main-2022-online-25th-july-morning-shift
1l6rkwll0,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","<p>When ethanol is heated with conc. $$\mathrm{H}_{2} \mathrm{SO}_{4}$$, a gas is produced. The compound formed, when this gas is treated with cold dilute aqueous solution of Baeyer's reagent, is</p>","[{""identifier"": ""A"", ""content"": ""formaldehyde""}, {""identifier"": ""B"", ""content"": ""formic acid""}, {""identifier"": ""C"", ""content"": ""glycol""}, {""identifier"": ""D"", ""content"": ""ethanoic acid""}]","[""C""]",,"$$$\mathrm{CH}_{3}-\mathrm{CH}_{2}-\mathrm{OH} \frac{\text { Conc. } \mathrm{H}_{2} \mathrm{SO}_{4}}{\Delta} \mathrm{CH}_{2}=\mathrm{CH}_{2} \frac{\text { Cold dil solution of }}{\text { Bayers reagent }} \mathrm{OH}-\mathrm{CH}_{2}-\mathrm{CH}_{2}-\mathrm{OH}\,(\text {Glycol})$$$",mcq,jee-main-2022-online-29th-july-evening-shift
1ldsc9ica,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",<p>A solution of $$\mathrm{Cr O_5}$$ in amyl alcohol has a __________ colour.</p>,"[{""identifier"": ""A"", ""content"": ""Yellow""}, {""identifier"": ""B"", ""content"": ""Orange-Red""}, {""identifier"": ""C"", ""content"": ""Green""}, {""identifier"": ""D"", ""content"": ""Blue""}]","[""D""]",,<p>CrO$$_5$$ is blue in colour in amyl alcohol.</p>,mcq,jee-main-2023-online-29th-january-evening-shift
1ldsduqv0,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",<p>The denticity of the ligand present in the Fehling's reagent is ___________.</p>,[],,4,"The ligand present in Fehling's reagent is tartrate, specifically potassium sodium tartrate (KNaC<sub>4</sub>H<sub>4</sub>O<sub>6</sub>•4H<sub>2</sub>O), which acts as a chelating agent. The denticity of tartrate is four, meaning that it can bond to a metal ion through four different atoms, in this case, two oxygen atoms from each of the two carboxylate groups and two oxygen atoms from the two hydroxyl groups. This chelation allows the copper ions in Fehling's A to remain in solution, preventing them from precipitating out as insoluble copper hydroxides. The chelation also helps to stabilize the intermediate copper complexes formed during the redox reaction with reducing sugars, allowing for the formation of the brick-red precipitate of copper(I) oxide (Cu<sub>2</sub>O).",integer,jee-main-2023-online-29th-january-evening-shift
1lgvurueq,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",<p>Incorrect method of preparation for alcohols from the following is:</p>,"[{""identifier"": ""A"", ""content"": ""Hydroboration-oxidation of alkene.""}, {""identifier"": ""B"", ""content"": ""Reaction of Ketone with $$\\mathrm{RMgBr}$$ followed by hydrolysis.""}, {""identifier"": ""C"", ""content"": ""Ozonolysis of alkene.""}, {""identifier"": ""D"", ""content"": ""Reaction of alkyl halide with aqueous $$\\mathrm{NaOH}$$.""}]","[""C""]",,"Reductive ozonolysis of alkenes will lead to
formation of aldehyde or ketones, oxidative
ozonolysis of alkenes will lead to formation of
carboxylic acids or ketones.<br/><br/>
So, alcohol is not formed by ozonolysis of alkenes.",mcq,jee-main-2023-online-10th-april-evening-shift
1lh02rkk8,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","<p>Given below are two statements: One is labelled as Assertion A and the other is labelled as Reason R.</p>
<p>Assertion A: Butan -1- ol has higher boiling point than ethoxyethane.</p>
<p>Reason R: Extensive hydrogen bonding leads to stronger association of molecules.</p>
<p>In the light of the above statements, choose the correct answer from the options given below:</p>","[{""identifier"": ""A"", ""content"": ""A is false but R is true""}, {""identifier"": ""B"", ""content"": ""Both A and R are true but R is not the correct explanation of A""}, {""identifier"": ""C"", ""content"": ""Both A and R are true and R is the correct explanation of A""}, {""identifier"": ""D"", ""content"": ""A is true but R is false""}]","[""C""]",,"<p>The boiling point of a substance is dependent on the strength of the intermolecular forces between its molecules. Stronger intermolecular forces require more energy to overcome, thus resulting in a higher boiling point.</p>
<p>In the case of butan-1-ol and ethoxyethane (diethyl ether), they are both composed of similar numbers of similar atoms, but the type of intermolecular force between the molecules differs due to their functional groups.</p>
<p>Butan-1-ol is an alcohol and has a -OH group, which allows for hydrogen bonding, a strong type of dipole-dipole interaction. This happens when the hydrogen atom in a polar bond (especially -OH, -NH, -HF) is attracted to some electronegative atom (like O, N, or F) in another molecule. Because of this, butan-1-ol molecules &quot;stick together&quot; more strongly, requiring more heat energy to separate them and thus exhibiting a higher boiling point.</p>
<p>On the other hand, ethoxyethane, being an ether, does not have the ability to form hydrogen bonds since it lacks the -OH group. The primary intermolecular forces in ethers are relatively weaker van der Waals forces. Therefore, it requires less heat energy to break these forces, resulting in a lower boiling point compared to butan-1-ol.</p>
<p>So, both A and R are true and R is indeed the correct explanation for A.</p>
",mcq,jee-main-2023-online-8th-april-morning-shift
1lh03g9az,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols",<p>The water gas on reacting with cobalt as a catalyst forms</p>,"[{""identifier"": ""A"", ""content"": ""Methanoic acid""}, {""identifier"": ""B"", ""content"": ""Methanol""}, {""identifier"": ""C"", ""content"": ""Methanal""}, {""identifier"": ""D"", ""content"": ""Ethanol""}]","[""B""]",,"<p>Water gas, also known as synthesis gas or &quot;syngas&quot;, is a mixture of carbon monoxide (CO) and hydrogen (H<sub>2</sub>). When water gas reacts with a catalyst, typically consisting of a combination of cobalt and molybdenum, it can undergo a reaction to form methanol (CH<sub>3</sub>OH).</p>
<p>This is known as the methanol synthesis reaction and can be written as:</p>
<p>$$\mathrm{CO(g)} + 2\mathrm{H}_{2}(g) \rightarrow \mathrm{CH}_{3}\mathrm{OH(g)}$$</p>
<p>This reaction is widely used in industry for the production of methanol, which can be used as a solvent, an antifreeze, a fuel, and as a feedstock for the production of chemicals.</p>
",mcq,jee-main-2023-online-8th-april-morning-shift
1lh334lwn,chemistry,alcohols-phenols-and-ethers,"properties,-preparation-and-uses-of-alcohols","<p>Among the following, the number of compounds which will give positive iodoform reaction is _________</p>
<p>(a) 1-Phenylbutan-2-one</p>
<p>(b) 2-Methylbutan-2-ol</p>
<p>(c) 3-Methylbutan-2-ol</p>
<p>(d) 1-Phenylethanol</p>
<p>(e) 3,3-dimethylbutan-2-one</p>
<p>(f) 1-Phenylpropan-2-ol</p>",[],,4,"<img src=""https://app-content.cdn.examgoal.net/fly/@width/image/6y3zli1lmjvtzel/b63a0389-6c69-45f5-b718-76073577d1ac/c1735bc0-5361-11ee-93a7-7d656406e46f/file-6y3zli1lmjvtzem.png?format=png"" data-orsrc=""https://app-content.cdn.examgoal.net/image/6y3zli1lmjvtzel/b63a0389-6c69-45f5-b718-76073577d1ac/c1735bc0-5361-11ee-93a7-7d656406e46f/file-6y3zli1lmjvtzem.png"" loading=""lazy"" style=""max-width: 100%;height: auto;display: block;margin: 0 auto;max-height: 80vh;vertical-align: baseline"" alt=""JEE Main 2023 (Online) 6th April Evening Shift Chemistry - Alcohols, Phenols and Ethers Question 23 English Explanation"">",integer,jee-main-2023-online-6th-april-evening-shift
